spec|reqs|scenarios|bytes
admin-statistics|2|9|2685
admin-user-management|5|20|5718
ai-assistant|13|27|7014
ai-data-source-config|4|8|2691
ai-workflow-ab-test|3|8|2043
ai-workflow-builder|7|28|7686
ai-workflow-nlp-generator|6|19|6907
analytics-core|9|17|5555
analytics-event-catalog|9|24|8405
analytics-web-adapters|6|21|6226
audit-log|11|21|5775
batch-reactions|5|11|3168
browse-activity|3|10|2757
challenge-completion|5|10|3258
challenge-conversion|4|7|2276
challenge-discovery|4|10|3060
challenge-enrollment|5|8|2460
challenge-feed|3|7|1999
challenge-permissions|5|10|2795
checkin-reactions-comments|5|15|4236
checkin-showcase-card-structure|4|10|2405
cheer-engagement|4|10|4160
comment-mention|1|3|892
comment-reaction-notification|3|7|2645
comment-reply-notification|4|8|3079
comments|4|7|1994
communication|11|20|5537
community-onboarding|11|22|5871
content-performance|10|20|5346
data-export|8|13|4411
email-history|2|11|2853
env-config|5|8|2826
event-management|12|26|6580
feed-composition-algorithm|5|13|3947
follow-connect|8|23|6660
gamification|14|29|8403
grouped-sidebar|7|15|4505
learning-admin|19|39|10898
learning-footprints|2|6|1372
member-directory|11|24|5952
notification-delivery|6|17|5501
notification-email|5|11|3566
notification-events|3|16|5110
notification-preferences|3|7|2936
notifications|2|8|1550
onboarding-badge|3|6|1948
onboarding-email-sequence|3|6|1891
onboarding-progress-widget|4|10|3163
onboarding-registration|6|20|6579
practice-copy-cta|5|14|4116
practice-feed|5|15|5477
practice-management|8|17|4853
practice-markdown-export|6|15|4342
practice-pdf-export|8|17|4724
practice-tab-count-badge|2|6|1595
privacy|2|4|1126
product-topic-recommendation|6|12|4516
professional-social-proof|4|8|2510
profile-activity-metrics|3|10|2364
quick-reactions|5|10|3340
recommendation-feedback-signals|5|11|3743
report-center|15|20|5780
settings-completion-guide|4|9|2890
showcase-feed-mixed-items|7|17|5555
showcase-search|6|14|4408
social-connect|8|18|4653
social-follow|4|12|2604
social-hub|4|12|2687
system-ops|11|21|6663
trust-automod|16|35|11340
unified-dashboard|7|14|4324
universal-view-tracking|5|11|3282
user-analytics|13|22|6359
user-avatar-upload|2|6|1416
user-detail-timeline|11|22|6338
user-profile-page|8|20|4609
user-support|13|22|5707
user-tags-segmentation|12|25|7316
verification-badge|3|8|2102
welcome-email|1|5|2351
workflow-skill-manager|6|21|6795
