Area,Area,ESCO Knowledge & Skills
資訊與資訊通信科技(ICT),Technology & ICT,information and communication technologies (icts)
商業與管理,Business & Management,"business, administration and law"
藝術、創意與設計,"Arts, Creative & Design",arts and humanities
科學與研究,Science & Research,"natural sciences, mathematics and statistics"
工程與製造,Engineering & Manufacturing,"engineering, manufacturing and construction"
健康與醫學,Health & Medicine,health and welfare
教育與學習,Education & Learning,education
社會科學,Social Sciences,"social sciences, journalism and information"
語言,Languages,Language skills and knowledge
法律,Law,"business, administration and law"
客戶服務與餐飲,Customer Service & Hospitality,services
農業與環境科學,Agriculture & Environmental Sciences,"agriculture, forestry, fisheries and veterinary"
其他,Others,
