中文,英文,備註
帳號設定,Account Setting,
生日,Date of Birth,
使用者名稱,Name,
希望大家怎麼稱呼你,What would you like to be called?,Placeholder
使用者帳號,Username,
設定你的專屬帳號,Create your username,Placeholder
個人標語,Headline,
用一句話介紹自己,Create your personal headline,Placeholder
專業與興趣領域,Professional & Interests,
你的專業或正在學習的領域,Your profession or current field of study,
你有興趣探索的領域 *,Areas you'd like to explore,
其他社群,Elsewhere ,
關於我,About Me,
分享你的興趣、背景，或者好奇的事物...,"Share your interests, background, or simply what you're curious about...",Placeholder
地區,Location,
