名稱,攀岩抱石,靜心寫字,找回生活秩序的 ,睡前瑜珈,減少手機使用時間
實踐行動,從最簡單的路線開始練習,從喜歡的歌詞、電影或書本選出一個段落，練習寫字,每天只選一個「極小區域」計時 10 分鐘，丟掉過期、不用的物品,睡前跟著 youtube 做瑜珈放鬆,吃飯時不看手機、不看電腦、不看電視
開始日期,Default 設定使用者點選當日,Default 設定使用者點選當日,Default 設定使用者點選當日,Default 設定使用者點選當日,Default 設定使用者點選當日
想持續多久,,,,,
7 天,,,V,V,V
14 天,,,,,
21 天,V,,,,
30 天,,Ｖ,,,
,,,,,
結束於,,,,,
,,,,,
頻率,,,,,
2-4 天,V,Ｖ,,V,
3-5 天,,,,,V
4-7 天,,,V,,
,,,,,
每次執行時間,,,V,,
15 分鐘,,,,,
30 分鐘,,Ｖ,,V,
45 分鐘,,,,,V
60 分鐘,V,,,,
,,,,,
執行時段,,,,,
早餐前,,,,,
通勤時,,,,,
午休時,,,V,,
晚餐後,,,,,
睡前,,Ｖ,,V,
其他時段,下班後,,,,早餐、晚餐
,,,,,
使用的資源,,如何練字：葉曄老師教你如何開始練字3步驟及2個寫字練習方法,居家整聊室,10 Minute Evening Stretch for Beginners,
,,https://www.ystudiostyle.com.tw/blog/posts/writing-practice,https://www.youtube.com/watch?v=sQsB89fHht8&list=PLwWsee0d-jzFDBy9LY0YDTkvpmbWIG_k8,https://www.youtube.com/watch?v=_9JZuOO9E_w,
類別,身心健康,身心健康,身心健康,身心健康,身心健康
