名稱,手機攝影,我的虛擬美術館,練習手繪,Logo 研究
實踐行動,每天選擇一個「平凡物件」（如：咖啡杯、捷運站）拍攝,在 Pinterest 或 Google Arts & Culture 找出一件喜歡的作品,看 youtube 影片用色筆練習手繪,找喜歡的品牌 logo，了解顏色與設計概念
開始日期,Default 設定使用者點選當日,Default 設定使用者點選當日,Default 設定使用者點選當日,Default 設定使用者點選當日
想持續多久,,,,
7 天,,,,
14 天,V,V,,V
21 天,,,V,
30 天,,,,
,,,,
結束於,,,,
,,,,
頻率,,,,
2-4 天,,,V,V
3-5 天,V,V,,
4-7 天,,,,
,,,,
每次執行時間,,,,
15 分鐘,V,,,
30 分鐘,,V,,
45 分鐘,,,V,
60 分鐘,,,,V
,,,,
執行時段,,,,
早餐前,,,,
通勤時,V,,,
午休時,,,,V
晚餐後,V,,,
睡前,,V,V,
其他時段,,,,
,,,,
使用的資源,手機拍照 技巧!!,Google Arts & Culture,10個新手畫畫練習，每天畫15分鐘就能進步！,The Power of Logos: Understanding the Art and Science of Logo Design
,https://www.youtube.com/watch?v=moqws3j2ykI,https://artsandculture.google.com/,https://www.youtube.com/watch?v=PG_nIgawe78,https://chaseedesign.com.au/blog/art-and-science-of-logo-design
類別,藝術與設計,藝術與設計,藝術與設計,藝術與設計
