名稱,每天通勤學英文,滑 IG 的時候順便看一則英文貼文,練習手寫日文歌詞或文章,每天看一篇英文科技/商業新聞,練習日文
實踐行動,戴上耳機，聽一段英文 podcast ,追蹤幾個英文教學帳號。滑手機時如果滑到了，停下來看一則，唸出裡面的一個單字或例句,找喜歡的日文歌詞、動漫台詞或文章，慢慢抄寫一遍。不用管文法，專注在把字寫好看就好,打開 App，挑一篇標題有興趣的。讀完標題和第一段就好，剩下的稍微掃過去。 ,用聽 podcast  的方式學日文，同時了解日本文化
開始日期,Default 設定使用者點選當日,Default 設定使用者點選當日,Default 設定使用者點選當日,Default 設定使用者點選當日,Default 設定使用者點選當日
想持續多久,,,,,
7 天,,,,,
14 天,,,,,
21 天,V,, ,V,
30 天,,V,V,,V
,,,,,
結束於,,,,,
,,,,,
頻率,,,,,
2-4 天,,,V,,
3-5 天,V,,,V,
4-7 天,,V,,,V
,,,,,
每次執行時間,,,,,
15 分鐘,V,V,,,V
30 分鐘,,,V,V,
45 分鐘,,,,,
60 分鐘,,,,,
,,,,,
執行時段,,,,,
早餐前,,,,,
通勤時,V,,,,
午休時,,V,,V,
晚餐後,,,,,
睡前,,V,V,,V
其他時段,,,,,
,,,,,
使用的資源,通勤學英語 15Mins Today,BBC News,Kanogoma 中日歌詞翻譯網,Bloomberg ,OK日文 
,https://podcasts.apple.com/tw/podcast/%E9%80%9A%E5%8B%A4%E5%AD%B8%E8%8B%B1%E8%AA%9E-15mins-today/id1442509198,https://www.instagram.com/bbcnews/,https://kanogoma.com/,https://www.bloomberg.com/,https://podcasts.apple.com/tw/podcast/ok%E6%97%A5%E6%96%87-%E9%80%90%E5%AD%97%E7%A8%BF-%E9%9B%99%E8%AA%9E%E5%AD%B8%E6%97%A5%E6%96%87/id1603824221
類別,語言,語言,語言,語言,語言
